name,symbol
Ambika Cotton Mills Limited,AMBIKCO
Ambuja Cements Limited,AMBUJACEM
AMD Industries Limited,AMDIND
Amj Land Holdings Limited,AMJLAND
Amrutanjan Health Care Limited,AMRUTANJAN
Anant Raj Limited,ANANTRAJ
Andhra Bank,ANDHRABANK
Andhra Cements Limited,ANDHRACEMT
The Andhra Sugars Limited,ANDHRSUGAR
Anik Industries Limited,ANIKINDS
Ankit Metal & Power Limited,ANKITMETAL
Ansal Properties & Infrastructure Limited,ANSALAPI
Ansal Housing Limited,ANSALHSG
Antarctica Limited,ANTGRAPHIC
The Anup Engineering Limited,ANUP
Apar Industries Limited,APARINDS
Anjani Portland Cement Limited,APCL
Apcotex Industries Limited,APCOTEXIND
Apex Frozen Foods Limited,APEX
APL Apollo Tubes Limited,APLAPOLLO
Alembic Pharmaceuticals Limited,APLLTD
Apollo Micro Systems Limited,APOLLO
Apollo Hospitals Enterprise Limited,APOLLOHOSP
Apollo Pipes Limited,APOLLOPIPE
Apollo Tyres Limited,APOLLOTYRE
Apollo Sindoori Hotels Limited,APOLSINHOT
Aptech Limited,APTECHT
Archidply Industries Limited,ARCHIDPLY
Archies Limited,ARCHIES
Arcotech Limited,ARCOTECH
Rajdarshan Industries Limited,ARENTERP
Aries Agro Limited,ARIES
Arihant Foundations & Housing Limited,ARIHANT
Arihant Superstructures Limited,ARIHANTSUP
Arman Financial Services Limited,ARMANFIN
Aro Granite Industries Limited,AROGRANITE
Arrow Greentech Limited,ARROWGREEN
Arrow Textiles Limited,ARROWTEX
Arshiya Limited,ARSHIYA
ARSS Infrastructure Projects Limited,ARSSINFRA
Arvind Limited,ARVIND
Arvind Fashions Limited,ARVINDFASN
Arvind SmartSpaces Limited,ARVSMART
Asahi India Glass Limited,ASAHIINDIA
Asahi Songwon Colors Limited,ASAHISONG
Automotive Stampings and Assemblies Limited,ASAL
Ashapura Minechem Limited,ASHAPURMIN
Ashiana Housing Limited,ASHIANA
Ashima Limited,ASHIMASYN
Ashoka Buildcon Limited,ASHOKA
Ashok Leyland Limited,ASHOKLEY
Asian Hotels (North) Limited,ASIANHOTNR
Asian Paints Limited,ASIANPAINT
Asian Granito India Limited,ASIANTILES
Aspinwall and Company Limited,ASPINWALL
Astec LifeSciences Limited,ASTEC
Aster DM Healthcare Limited,ASTERDM
Astral Poly Technik Limited,ASTRAL
Astra Microwave Products Limited,ASTRAMICRO
AstraZeneca Pharma India Limited,ASTRAZEN
Astron Paper & Board Mill Limited,ASTRON
Agro Tech Foods Limited,ATFL
Atlanta  Limited,ATLANTA
Atlas Cycles (Haryana) Limited,ATLASCYCLE
Atul Limited,ATUL
Atul Auto Limited,ATULAUTO
AU Small Finance Bank Limited,AUBANK
Aurionpro Solutions Limited,AURIONPRO
Aurobindo Pharma Limited,AUROPHARMA
Ausom Enterprise Limited,AUSOMENT
Automotive Axles Limited,AUTOAXLES
Autoline Industries Limited,AUTOIND
Autolite (India) Limited,AUTOLITIND
Avadh Sugar & Energy Limited,AVADHSUGAR
Avanti Feeds Limited,AVANTIFEED
AVT Natural Products Limited,AVTNPL
Axis Bank Limited,AXISBANK
AXISCADES Engineering Technologies Limited,AXISCADES
AYM Syntex Limited,AYMSYNTEX
B.A.G Films and Media Limited,BAGFILMS
Bajaj Auto Limited,BAJAJ-AUTO
Bajaj Consumer Care Limited,BAJAJCON
Bajaj Electricals Limited,BAJAJELEC
Bajaj Finserv Limited,BAJAJFINSV
Bajaj Hindusthan Sugar Limited,BAJAJHIND
Bajaj Holdings & Investment Limited,BAJAJHLDNG
Bajaj Finance Limited,BAJFINANCE
Balaji Telefilms Limited,BALAJITELE
Balaji Amines Limited,BALAMINES
Balaxi Ventures Limited,BALAXI
Balkrishna Paper Mills Limited,BALKRISHNA
Balkrishna Industries Limited,BALKRISIND
Ballarpur Industries Limited,BALLARPUR
Balmer Lawrie & Company Limited,BALMLAWRIE
Bal Pharma Limited,BALPHARMA
Balrampur Chini Mills Limited,BALRAMCHIN
Banaras Beads Limited,BANARBEADS
Bannari Amman Sugars Limited,BANARISUG
Banco Products (I) Limited,BANCOINDIA
Bandhan Bank Limited,BANDHANBNK
Bang Overseas Limited,BANG
Bank of Baroda,BANKBARODA
Bank of India,BANKINDIA
Banswara Syntex Limited,BANSWRAS
Bartronics India Limited,BARTRONICS
BASF India Limited,BASF
Bannari Amman Spinning Mills Limited,BASML
Bata India Limited,BATAINDIA
Bayer Cropscience Limited,BAYERCROP
Bharat Bijlee Limited,BBL
Bombay Burmah Trading Corporation Limited,BBTC
Brightcom Group Limited,BCG
B.C. Power Controls Ltd,BCP
Bharat Dynamics Limited,BDL
Beardsell Limited,BEARDSELL
Bedmutha Industries Limited,BEDMUTHA
Bharat Electronics Limited,BEL
BEML Limited,BEML
Bhansali Engineering Polymers Limited,BEPL
Berger Paints (I) Limited,BERGEPAINT
BF Investment Limited,BFINVEST
BF Utilities Limited,BFUTILITIE
Bharatiya Global Infomedia Limited,BGLOBAL
BGR Energy Systems Limited,BGRENERGY
Bhageria Industries Limited,BHAGERIA
Bhagyanagar India Limited,BHAGYANGR
Bhagyanagar Properties Limited,BHAGYAPROP
Bhandari Hosiery Exports Limited,BHANDARI
Bharat Forge Limited,BHARATFORG
Bharat Gears Limited,BHARATGEAR
Bharat Rasayan Limited,BHARATRAS
Bharat Wire Ropes Limited,BHARATWIRE
Bharti Airtel Limited,BHARTIARTL
Bharat Heavy Electricals Limited,BHEL
Bigbloc Construction Limited,BIGBLOC
Bhartiya International Limited,BIL
Bil Energy Systems Limited,BILENERGY
Oswal Chemicals & Fertilizers Limited,BINDALAGRO
Biocon Limited,BIOCON
Biofil Chemicals & Pharmaceuticals Limited,BIOFILCHEM
Birla Cable Limited,BIRLACABLE
Birla Corporation Limited,BIRLACORPN
Aditya Birla Money Limited,BIRLAMONEY
Bkm Industries Limited,BKMINDST
BLB Limited,BLBLIMITED
Bliss GVS Pharma Limited,BLISSGVS
B. L. Kashyap and Sons Limited,BLKASHYAP
BLS International Services Limited,BLS
Blue Blends (I) Limited,BLUEBLENDS
Blue Coast Hotels Limited,BLUECOAST
Blue Dart Express Limited,BLUEDART
Blue Star Limited,BLUESTARCO
Bodal Chemicals Limited,BODALCHEM
Bombay Dyeing & Mfg Company Limited,BOMDYEING
Borosil Glass Works Limited,BOROSIL
Bosch Limited,BOSCHLTD
Bharat Petroleum Corporation Limited,BPCL
BPL Limited,BPL
Bombay Rayon Fashions Limited,BRFL
Brigade Enterprises Limited,BRIGADE
Britannia Industries Limited,BRITANNIA
Bharat Road Network Limited,BRNL
Brooks Laboratories Limited,BROOKS
BSE Limited,BSE
BSEL Infrastructure Realty Limited,BSELINFRA
BSL Limited,BSL
BIRLASOFT LIMITED,BSOFT
Burnpur Cement Limited,BURNPUR
Butterfly Gandhimathi Appliances Limited,BUTTERFLY
Barak Valley Cements Limited,BVCL
The Byke Hospitality Ltd,BYKE
Cadila Healthcare Limited,CADILAHC
California Software Company Limited,CALSOFT
Camlin Fine Sciences Limited,CAMLINFINE
Canara Bank,CANBK
C & C Constructions Limited,CANDC
Can Fin Homes Limited,CANFINHOME
Cantabil Retail India Limited,CANTABIL
Capacit’e Infraprojects Limited,CAPACITE
Caplin Point Laboratories Limited,CAPLIPOINT
Capital Trust Limited,CAPTRUST
Carborundum Universal Limited,CARBORUNIV
Career Point Limited,CAREERP
CARE Ratings Limited,CARERATING
Castex Technologies Limited,CASTEXTECH
Castrol India Limited,CASTROLIND
Country Club Hospitality & Holidays Limited,CCHHL
CCL Products (India) Limited,CCL
Central Depository Services (India) Limited,CDSL
CEAT Limited,CEATLTD
Commercial Engineers & Body Builders Co Limited,CEBBCO
Celebrity Fashions Limited,CELEBRITY
Celestial Biolabs Limited,CELESTIAL
Century Enka Limited,CENTENKA
Century Extrusions Limited,CENTEXT
Central Bank of India,CENTRALBK
Centrum Capital Limited,CENTRUM
Centum Electronics Limited,CENTUM
Century Plyboards (India) Limited,CENTURYPLY
Century Textiles & Industries Limited,CENTURYTEX
Cera Sanitaryware Limited,CERA
Cerebra Integrated Technologies Limited,CEREBRAINT
CESC Limited,CESC
CESC Ventures Limited,CESCVENT
Capri Global Capital Limited,CGCL
CG Power and Industrial Solutions Limited,CGPOWER
Chalet Hotels Limited,CHALET
Chambal Fertilizers & Chemicals Limited,CHAMBLFERT
Chemfab Alkalis Limited,CHEMFAB
Chennai Petroleum Corporation Limited,CHENNPETRO
Cholamandalam Investment and Finance Company Limited,CHOLAFIN
Cholamandalam Financial Holdings Limited,CHOLAHLDNG
Chromatic India Limited,CHROMATIC
Cigniti Technologies Limited,CIGNITITEC
Cimmco Limited,CIMMCO
Cineline India Limited,CINELINE
Cinevista Limited,CINEVISTA
Cipla Limited,CIPLA
Cox & Kings Financial Service Limited,CKFSL
CL Educate Limited,CLEDUCATE
Clariant Chemicals (India) Limited,CLNINDIA
CMI Limited,CMICABLES
CIL Nova Petrochemicals Limited,CNOVAPETRO
Coal India Limited,COALINDIA
Cochin Shipyard Limited,COCHINSHIP
Coffee Day Enterprises Limited,COFFEEDAY
Colgate Palmolive (India) Limited,COLPAL
Compuage Infocom Limited,COMPINFO
Compucom Software Limited,COMPUSOFT
Container Corporation of India Limited,CONCOR
Confidence Petroleum India Limited,CONFIPET
Consolidated Finvest & Holdings Limited,CONSOFINVT
Control Print Limited,CONTROLPR
Coral India Finance & Housing Limited,CORALFINAC
Cords Cable Industries Limited,CORDSCABLE
Coromandel International Limited,COROMANDEL
Corporation Bank,CORPBANK
Cosmo Films Limited,COSMOFILMS
Country Condo’s Limited,COUNCODOS
Cox & Kings Limited,COX&KINGS
Creative Peripherals and Distribution Limited,CREATIVE
Creative Eye Limited,CREATIVEYE
CREDITACCESS GRAMEEN LIMITED,CREDITACC
Crest Ventures Limited,CREST
CRISIL Limited,CRISIL
Crompton Greaves Consumer Electricals Limited,CROMPTON
Cambridge Technology Enterprises Limited,CTE
City Union Bank Limited,CUB
Cubex Tubings Limited,CUBEXTUB
Cummins India Limited,CUMMINSIND
Cupid Limited,CUPID
Cura Technologies Limited,CURATECH
Cyber Media (India) Limited,CYBERMEDIA
Cybertech Systems And Software Limited,CYBERTECH
Cyient Limited,CYIENT
LT Foods Limited,DAAWAT
Dabur India Limited,DABUR
Dalmia Bharat Limited,DALBHARAT
Dalmia Bharat Sugar and Industries Limited,DALMIASUG
Damodar Industries Limited,DAMODARIND
Datamatics Global Services Limited,DATAMATICS
D.B.Corp Limited,DBCORP
Dilip Buildcon Limited,DBL
D B Realty Limited,DBREALTY
DB (International) Stock Brokers Limited,DBSTOCKBRO
Dishman Carbogen Amcis Limited,DCAL
DCB Bank Limited,DCBBANK
DCM  Limited,DCM
DCM Financial Services Limited,DCMFINSERV
DCM Nouvelle Limited,DCMNVL
DCM Shriram Limited,DCMSHRIRAM
DCW Limited,DCW
Deccan Cements Limited,DECCANCE
Deepak Fertilizers and Petrochemicals Corporation Limited,DEEPAKFERT
Deepak Nitrite Limited,DEEPAKNTR
Deep Industries Limited,DEEPIND
Delta Corp Limited,DELTACORP
Delta Magnets Limited,DELTAMAGNT
Den Networks Limited,DEN
De Nora India Limited,DENORA
DFM Foods Limited,DFMFOODS
Digicontent Limited,DGCONTENT
Dhampur Sugar Mills Limited,DHAMPURSUG
Dhanlaxmi Bank Limited,DHANBANK
Dhanuka Agritech Limited,DHANUKA
Dharani Sugars & Chemicals Limited,DHARSUGAR
Dewan Housing Finance Corporation Limited,DHFL
Dhunseri Investments Limited,DHUNINV
Prataap Snacks Limited,DIAMONDYD
Diamond Power Infra Ltd,DIAPOWER
DIC India Limited,DICIND
DiGiSPICE Technologies Limited,DIGISPICE
Digjam Limited,DIGJAMLTD
Dish TV India Limited,DISHTV
Divi’s Laboratories Limited,DIVISLAB
Dixon Technologies (India) Limited,DIXON
DLF Limited,DLF
D-Link (India) Limited,DLINKINDIA
Avenue Supermarts Limited,DMART
Diligent Media Corporation Limited,DNAMEDIA
Dolat Investments Limited,DOLAT
Dollar Industries Limited,DOLLAR
Donear Industries Limited,DONEAR
DPSC Limited,DPSCLTD
DQ Entertainment (International) Limited,DQE
Dredging Corporation of India Limited,DREDGECORP
Dr. Reddy’s Laboratories Limited,DRREDDY
Dynacons Systems & Solutions Limited,DSSL
Dhunseri Tea & Industries Limited,DTIL
Ducon Infratechnologies Limited,DUCON
Dhunseri Ventures Limited,DVL
Dwarikesh Sugar Industries Limited,DWARKESH
Dynamatic Technologies Limited,DYNAMATECH
Dynemic Products Limited,DYNPRO
Eastern Silk Industries Limited,EASTSILK
Easun Reyrolle Limited,EASUNREYRL
eClerx Services Limited,ECLERX
Edelweiss Financial Services Limited,EDELWEISS
Empee Distilleries Limited,EDL
Educomp Solutions Limited,EDUCOMP
Eicher Motors Limited,EICHERMOT
EID Parry India Limited,EIDPARRY
EIH Associated Hotels Limited,EIHAHOTELS
EIH Limited,EIHOTEL
Eimco Elecon (India) Limited,EIMCOELECO
Everest Kanto Cylinder Limited,EKC
Elecon Engineering Company Limited,ELECON
Electrosteel Castings Limited,ELECTCAST
Electrotherm (India) Limited,ELECTHERM
Elgi Equipments Limited,ELGIEQUIP
Elgi Rubber Company Limited,ELGIRUBCO
Emami Limited,EMAMILTD
Emami Paper Mills Limited,EMAMIPAP
Emami Realty Limited,EMAMIREAL
Emco Limited,EMCO
Emkay Global Financial Services Limited,EMKAY
Emmbi Industries Limited,EMMBI
Endurance Technologies Limited,ENDURANCE
Energy Development Company Limited,ENERGYDEV
Engineers India Limited,ENGINERSIN
Entertainment Network (India) Limited,ENIL
Eon Electric Limited,EON
Equitas Holdings Limited,EQUITAS
Eris Lifesciences Limited,ERIS
Eros International Media Limited,EROSMEDIA
Esab India Limited,ESABINDIA
Escorts Limited,ESCORTS
Essar Shipping Limited,ESSARSHPNG
Essel Propack Limited,ESSELPACK
Ester Industries Limited,ESTER
Euro Ceramics Limited,EUROCERA
Euro Multivision Limited,EUROMULTI
Eurotex Industries and Exports Limited,EUROTEXIND
Eveready Industries India Limited,EVEREADY
Everest Industries Limited,EVERESTIND
Excel Realty N Infra Limited,EXCEL
Excel Industries Limited,EXCELINDUS
Exide Industries Limited,EXIDEIND
Expleo Solutions Limited,EXPLEOSOL
Fertilizers and Chemicals Travancore Limited,FACT
Fairchem Speciality Limited,FAIRCHEM
Fineotex Chemical Limited,FCL
Future Consumer Limited,FCONSUMER
FCS Software Solutions Limited,FCSSOFT
FDC Limited,FDC
The Federal Bank  Limited,FEDERALBNK
Future Enterprises Limited,FEL
Future Enterprises Limited,FELDVR
Fiem Industries Limited,FIEMIND
Filatex India Limited,FILATEX
Finolex Cables Limited,FINCABLES
Fine Organic Industries Limited,FINEORG
Finolex Industries Limited,FINPIPE
Flexituff Ventures International Limited,FLEXITUFF
Future Lifestyle Fashions Limited,FLFL
Gujarat Fluorochemicals Limited,FLUOROCHEM
Federal-Mogul Goetze (India) Limited.,FMGOETZE
Future Market Networks Limited,FMNL
FORCE MOTORS LTD,FORCEMOT
Fortis Healthcare Limited,FORTIS
Foseco India Limited,FOSECOIND
Future Retail Limited,FRETAIL
Future Supply Chain Solutions Limited,FSC
Firstsource Solutions Limited,FSL
Gabriel India Limited,GABRIEL
Gujarat Ambuja Exports Limited,GAEL
GAIL (India) Limited,GAIL
Gyscoal Alloys Limited,GAL
Galaxy Surfactants Limited,GALAXYSURF
Gallantt Metal Limited,GALLANTT
Gallantt Ispat Limited,GALLISPAT
Gammon Infrastructure Projects Limited,GAMMNINFRA
Gandhi Special Tubes Limited,GANDHITUBE
Ganesha Ecosphere Limited,GANECOS
Ganesh Housing Corporation Limited,GANESHHOUC
Ganges Securities Limited,GANGESSECU
Gangotri Textiles Limited,GANGOTRI
Garden Silk Mills Limited,GARDENSILK
Garware Technical Fibres Limited,GARFIBRES
GATI Limited,GATI
Gayatri Highways Limited,GAYAHWS
Gayatri Projects Limited,GAYAPROJ
Gateway Distriparks Limited,GDL
GeeCee Ventures Limited,GEECEE
Genesys International Corporation Limited,GENESYS
Genus Paper & Boards Limited,GENUSPAPER
Genus Power Infrastructures Limited,GENUSPOWER
Geojit Financial Services Limited,GEOJITFSL
GE Power India Limited,GEPIL
The Great Eastern Shipping Company Limited,GESHIP
GE T&D India Limited,GET&D
GFL Limited,GFLLIMITED
GHCL Limited,GHCL
GIC Housing Finance Limited,GICHSGFIN
General Insurance Corporation of India,GICRE
Gillanders Arbuthnot & Company Limited,GILLANDERS
Gillette India Limited,GILLETTE
Ginni Filaments Limited,GINNIFILA
Gujarat Industries Power Company Limited,GIPCL
GI Engineering Solutions Limited,GISOLUTION
GKW Limited,GKWLIMITED
GlaxoSmithKline Pharmaceuticals Limited,GLAXO
Glenmark Pharmaceuticals Limited,GLENMARK
Gujarat Lease Financing Limited,GLFL
Global Vectra Helicorp Limited,GLOBALVECT
Global Offshore Services Limited,GLOBOFFS
Globus Spirits Limited,GLOBUSSPR
GM Breweries Limited,GMBREW
Gujarat Mineral Development Corporation Limited,GMDCLTD
GMM Pfaudler Limited,GMMPFAUDLR
GMR Infrastructure Limited,GMRINFRA
GNA Axles Limited,GNA
Gujarat Narmada Valley Fertilizers and Chemicals Limited,GNFC
Goa Carbon Limited,GOACARBON
GOCL Corporation Limited,GOCLCORP
Godfrey Phillips India Limited,GODFRYPHLP
Godrej Agrovet Limited,GODREJAGRO
Godrej Consumer Products Limited,GODREJCP
Godrej Industries Limited,GODREJIND
Godrej Properties Limited,GODREJPROP
Goenka Diamond and Jewels Limited,GOENKA
Gokaldas Exports Limited,GOKEX
Gokul Refoils and Solvent Limited,GOKUL
Gokul Agro Resources Limited,GOKULAGRO
Golden Tobacco Limited,GOLDENTOBC
Goldiam International Limited,GOLDIAM
Goldstone Technologies Limited,GOLDTECH
Goodluck India Limited,GOODLUCK
Godawari Power And Ispat limited,GPIL
Gujarat Pipavav Port Limited,GPPL
GPT Infraprojects Limited,GPTINFRA
Granules India Limited,GRANULES
Graphite India Limited,GRAPHITE
Grasim Industries Limited,GRASIM
Gravita India Limited,GRAVITA
Greaves Cotton Limited,GREAVESCOT
Greenlam Industries Limited,GREENLAM
Greenpanel Industries Limited,GREENPANEL
Greenply Industries Limited,GREENPLY
Orient Green Power Company Limited,GREENPOWER
Grindwell Norton Limited,GRINDWELL
The Grob Tea Company Limited,GROBTEA
GRP Limited,GRPLTD
Garden Reach Shipbuilders & Engineers Limited,GRSE
Gujarat Sidhee Cement Limited,GSCLCEMENT
Gujarat State Fertilizers & Chemicals Limited,GSFC
GlaxoSmithKline Consumer Healthcare Limited,GSKCONS
Gujarat State Petronet Limited,GSPL
GSS Infotech Limited,GSS
GTL Limited,GTL
GTL Infrastructure Limited,GTLINFRA
GTN Industries Limited,GTNIND
GTN Textiles Limited,GTNTEX
GTPL Hathway Limited,GTPL
Gufic Biosciences Limited,GUFICBIO
Gujarat Alkalies and Chemicals Limited,GUJALKALI
Gujarat Apollo Industries Limited,GUJAPOLLO
Gujarat Gas Limited,GUJGASLTD
Gujarat Raffia Industries Limited,GUJRAFFIA
Gulf Oil Lubricants India Limited,GULFOILLUB
GP Petroleums Limited,GULFPETRO
Gulshan Polyols Limited,GULPOLY
GVK Power & Infrastructure Limited,GVKPIL
Hindustan Aeronautics Limited,HAL
Harita Seating Systems Limited,HARITASEAT
Harrisons  Malayalam Limited,HARRMALAYA
Hathway Cable & Datacom Limited,HATHWAY
Hatsun Agro Product Limited,HATSUN
Havells India Limited,HAVELLS
Sri Havisha Hospitality and Infrastructure Limited,HAVISHA
HBL Power Systems Limited,HBLPOWER
HB Stockholdings Limited,HBSL
Hindustan Construction Company Limited,HCC
Healthcare Global Enterprises Limited,HCG
HCL Infosystems Limited,HCL-INSYS
HCL Technologies Limited,HCLTECH
Housing Development Finance Corporation Limited,HDFC
HDFC Asset Management Company Limited,HDFCAMC
HDFC Bank Limited,HDFCBANK
HDFC Life Insurance Company Limited,HDFCLIFE
Housing Development and Infrastructure Limited,HDIL
HEG Limited,HEG
HeidelbergCement India Limited,HEIDELBERG
Hercules Hoists Limited,HERCULES
Heritage Foods Limited,HERITGFOOD
Hero MotoCorp Limited,HEROMOTOCO
Hester Biosciences Limited,HESTERBIO
Hexa Tradex Limited,HEXATRADEX
Hexaware Technologies Limited,HEXAWARE
HFCL Limited,HFCL
H.G. Infra Engineering Limited,HGINFRA
Hinduja Global Solutions Limited,HGS
Hikal Limited,HIKAL
HIL Limited,HIL
Hilton Metal Forging Limited,HILTON
Himatsingka Seide Limited,HIMATSEIDE
Hindalco Industries Limited,HINDALCO
Hindustan Composites Limited,HINDCOMPOS
Hindustan Copper Limited,HINDCOPPER
Hindustan Motors Limited,HINDMOTORS
Hindusthan National Glass & Industries Limited,HINDNATGLS
Hindustan Oil Exploration Company Limited,HINDOILEXP
Hindustan Petroleum Corporation Limited,HINDPETRO
Hind Syntex Limited,HINDSYNTEX
Hindustan Unilever Limited,HINDUNILVR
Hindustan Zinc Limited,HINDZINC
Hind Rectifiers Limited,HIRECT
Hisar Metal Industries Limited,HISARMETAL
Hi-Tech Pipes Limited,HITECH
Hitech Corporation Limited,HITECHCORP
The Hi-Tech Gears Limited,HITECHGEAR
HMT Limited,HMT
Hindustan Media Ventures Limited,HMVL
Hindustan Foods Limited,HNDFDS
Honeywell Automation India Limited,HONAUT
Honda Siel Power Products Limited,HONDAPOWER
Hotel Leela Venture Limited,HOTELEELA
Hotel Rugby Limited,HOTELRUGBY
HOV Services Limited,HOVS
HPL Electric & Power Limited,HPL
Himadri Speciality Chemical Limited,HSCL
HSIL Limited,HSIL
HT Media Limited,HTMEDIA
Hubtown Limited,HUBTOWN
Housing & Urban Development Corporation Limited,HUDCO
Indiabulls Real Estate Limited,IBREALEST
Indiabulls Housing Finance Limited,IBULHSGFIN
Indiabulls Integrated Services Limited,IBULISL
Indiabulls Ventures Limited,IBVENTURES
ICICI Bank Limited,ICICIBANK
ICICI Lombard General Insurance Company Limited,ICICIGI
ICICI Prudential Life Insurance Company Limited,ICICIPRULI
Indo Count Industries Limited,ICIL
ICRA Limited,ICRA
IDBI Bank Limited,IDBI
Vodafone Idea Limited,IDEA
IDFC Limited,IDFC
IDFC First Bank Limited,IDFCFIRSTB
Indian Energy Exchange Limited,IEX
IFB Agro Industries Limited,IFBAGRO
IFB Industries Limited,IFBIND
IFCI Limited,IFCI
IFGL Refractories Limited,IFGLEXPOR
Igarashi Motors India Limited,IGARASHI
Indraprastha Gas Limited,IGL
IG Petrochemicals Limited,IGPL
IIFL Finance Limited,IIFL
IIFL Securities Limited,IIFLSEC
Iifl Wealth Management Limited,IIFLWAM
Industrial Investment Trust Limited,IITL
IL&FS Engineering and Construction Company Limited,IL&FSENGG
IL&FS Transportation Networks Limited,IL&FSTRANS
Indian Metals & Ferro Alloys Limited,IMFA
India Motor Parts and Accessories Limited,IMPAL
Impex Ferro Tech Limited,IMPEXFERRO
Indbank Merchant Banking Services Limited,INDBANK
The Indian Hotels Company Limited,INDHOTEL
The India Cements Limited,INDIACEM
India Glycols Limited,INDIAGLYCO
Indiamart Intermesh Limited,INDIAMART
Indian Bank,INDIANB
Indian Card Clothing Company Limited,INDIANCARD
Indian Hume Pipe Company Limited,INDIANHUME
InterGlobe Aviation Limited,INDIGO
IMP Powers Limited,INDLMETER
India Nippon Electricals Limited,INDNIPPON
Indoco Remedies Limited,INDOCO
Indo Rama Synthetics (India) Limited,INDORAMA
Indosolar Limited,INDOSOLAR
IndoStar Capital Finance Limited,INDOSTAR
Indo Tech Transformers Limited,INDOTECH
Indo Thai Securities Limited,INDOTHAI
Indowind Energy Limited,INDOWIND
Indraprastha Medical Corporation Limited,INDRAMEDCO
Ind-Swift Laboratories Limited,INDSWFTLAB
Ind-Swift Limited,INDSWFTLTD
Indian Terrain Fashions Limited,INDTERRAIN
IndusInd Bank Limited,INDUSINDBK
INEOS Styrolution India Limited,INEOSSTYRO
Infibeam Avenues Limited,INFIBEAM
InfoBeans Technologies Limited,INFOBEAN
Bharti Infratel Limited,INFRATEL
Infosys Limited,INFY
Ingersoll Rand (India) Limited,INGERRAND
INOX Leisure Limited,INOXLEISUR
Inox Wind Limited,INOXWIND
Insecticides (India) Limited,INSECTICID
Inspirisys Solutions Limited,INSPIRISYS
Integra Garments and Textiles Limited,INTEGRA
Intellect Design Arena Limited,INTELLECT
Intense Technologies Limited,INTENTECH
Inventure Growth & Securities Limited,INVENTURE
Indian Overseas Bank,IOB
Indian Oil Corporation Limited,IOC
IOL Chemicals and Pharmaceuticals Limited,IOLCP
International Paper APPM Limited,IPAPPM
IPCA Laboratories Limited,IPCALAB
IRB Infrastructure Developers Limited,IRB
Ircon International Limited,IRCON
Indian Railway Catering And Tourism Corporation Limited,IRCTC
ICICI Securities Limited,ISEC
Intrasoft Technologies Limited,ISFT
ISMT Limited,ISMTLTD
ITC Limited,ITC
India Tourism Development Corporation Limited,ITDC
ITD Cementation India Limited,ITDCEM
